secteur;annee;effectifs
Privé ;2020;401896
Privé ;2019;402762
Privé ;2018;401904
Privé ;2017;405053
Privé ;2021;407221
Privé ;2012;390704
Privé ;2011;385789
Privé ;2010;383130
Privé ;2009;287883
Privé ;2016;408430
Privé ;2015;402303
Privé ;2014;400124
Privé ;2013;395424
Privé ;2004;262899
Privé ;2003;260469
Privé ;2008;280603
Privé ;2007;275553
Privé ;2006;272130
Privé ;2005;267044
Public;2009;991849
Public;2008;991618
Public;2011;1356263
Public;2010;1342770
Public;2013;1386399
Public;2012;1370768
Public;2015;1391725
Public;2014;1393649
Public;2017;1380723
Public;2016;1387450
Public;2019;1375249
Public;2018;1373572
Public;2021;1410964
Public;2020;1402390
Public;2022;1406314
Public;2003;937894
Public;2005;973307
Public;2004;958284
Public;2007;992210
Public;2006;974512
